PROTID	GENEID	PROTLEN	AP_GFP_C_1_S2-A2_1_6530_SPC	AP_GFP_C_2_S2-A3_1_6531_SPC	AP_GFP_C_3_S2-A4_1_6532_SPC	AP_GFP_MED_NLS_1_S2-B2_1_6542_SPC	AP_GFP_MED_NLS_2_S2-B3_1_6543_SPC	AP_GFP_MED_NLS_3_S2-B4_1_6544_SPC	AP_GFP_MYC_NLS_1_S2-B6_1_6546_SPC	AP_GFP_MYC_NLS_2_S2-B7_1_6547_SPC	AP_GFP_MYC_NLS_3_S2-B8_1_6548_SPC	AP_GFP_NLS1_1_S2-A10_1_6538_SPC	AP_GFP_NLS1_2_S2-A11_1_6539_SPC	AP_GFP_NLS1_3_S2-A12_1_6540_SPC	AP_GFP_N_1_S2-A6_1_6534_SPC	AP_GFP_N_2_S2-A7_1_6535_SPC	AP_GFP_N_3_S2-A8_1_6536_SPC	AP_gfp-nls_1_S2-A7_1_4617_SPC	AP_gfp-nls_1_S2-A8_1_4618_SPC	GFP1a_Rita_AP_S1-A1_1_1425_SPC	GFP1b_Rita_AP_S1-A2_1_1426_SPC	GFP_AP1_S3-B5_1_1170_SPC	GFP_AP2_S3-B6_1_1171_SPC	GFP_AP3_S3-B7_1_1172_SPC	GFP_AP_1_S1-A8_1_4038_SPC	GFP_AP_2_S1-A9_1_4039_SPC	GFP_C_1_AP_S1-A5_1_6779_SPC	GFP_C_2_AP_S1-A6_1_6780_SPC	GFP_C_AP_1_S2-B2_1_4529_SPC	GFP_C_AP_2_S2-B3_1_4530_SPC	GFP_C_AP_3_S2-B4_1_4531_SPC	GFP_N_1_AP_S1-A8_1_6782_SPC	GFP_N_2_AP_S1-A9_1_6783_SPC	MAC2_C_GFP1_S3-A1_1_3574_SPC	MAC2_C_GFP2_S3-A2_1_3575_SPC	MAC2_C_GFP3_S3-A3_1_3576_SPC	MAC2_C_GFP4_S3-A4_1_3577_SPC	MAC2_C_GFP5_S3-A5_1_3578_SPC	MAC2_C_GFP6_S3-A6_1_3579_SPC	MAC2_C_GFP7_S3-A7_1_3580_SPC	MAC2_C_GFP8_S3-A8_1_3581_SPC	MAC2_N_GFP1_S3-B1_1_3583_SPC	MAC2_N_GFP2_S3-B2_1_3584_SPC	MAC2_N_GFP3_S3-B3_1_3585_SPC	MAC2_N_GFP4_S3-B4_1_3586_SPC	MAC2_N_GFP5_S3-B5_1_3587_SPC	MAC2_N_GFP6_S3-B6_1_3588_SPC	MAC2_N_GFP7_S3-B7_1_3589_SPC	MAC2_N_GFP8_S3-B8_1_3590_SPC	MAC_C_GFP1_S3-A1_1_3646_SPC	MAC_C_GFP2_S3-A2_1_3647_SPC	MAC_C_GFP3_S3-A3_1_3648_SPC	MAC_C_GFP4_S3-A4_1_3649_SPC	MAC_C_GFP5_S3-A5_1_3650_SPC	MAC_C_GFP6_S3-A6_1_3651_SPC	MAC_C_GFP7_S3-A7_1_3652_SPC	MAC_C_GFP8_S3-A8_1_3653_SPC	MAC_N_GFP1_S3-C1_1_3664_SPC	MAC_N_GFP2_S3-C2_1_3665_SPC	MAC_N_GFP3_S3-C3_1_3666_SPC	MAC_N_GFP4_S3-C4_1_3667_SPC	MAC_N_GFP5_S3-C5_1_3668_SPC	MAC_N_GFP6_S3-C6_1_3669_SPC	MAC_N_GFP7_S3-C7_1_3670_SPC	MAC_N_GFP8_S3-C8_1_3671_SPC	MED_1_AP_S1-A11_1_6785_SPC	MED_2_AP_S1-A12_1_6786_SPC	MYC_1_AP_S1-B2_1_6788_SPC	MYC_2_AP_S1-B3_1_6789_SPC	NLS1_1_AP_S1-A2_1_6776_SPC	NLS1_2_AP_S1-A3_1_6777_SPC	SUC_N_GFP1_S3-D1_1_3601_SPC	SUC_N_GFP2_S3-D2_1_3602_SPC	SUC_N_GFP3_S3-D3_1_3603_SPC	SUC_N_GFP4_S3-D4_1_3604_SPC	SUC_N_GFP5_S3-D5_1_3605_SPC	SUC_N_GFP6_S3-D6_1_3606_SPC	SUC_N_GFP7_S3-D7_1_3607_SPC	SUC_N_GFP8_S3-D8_1_3608_SPC
A5PLL7	PEDS1	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PLN9	TRAPPC13	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A5YKK6	CNOT1	2376	5	0	1	0	0	0	1	0	0	0	0	0	2	3	1	23	7	0	0	17	11	20	0	1	0	0	0	0	0	0	0	37	42	32	32	37	36	38	34	86	94	90	88	81	85	97	102	35	31	26	26	28	29	29	29	4	18	13	16	12	9	12	11	0	0	0	0	1	1	28	30	31	26	33	31	36	29
A6NDE4	RBMY1B	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NDG6	PGP	321	0	0	0	0	0	0	0	0	0	0	0	0	5	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
A6NDU8	RIMOC1	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
A6NFI3	ZNF316	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A6NGH8	ANKRD61	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NHR9	SMCHD1	2005	0	0	0	1	1	0	0	1	1	1	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	46	35	40	48	42	43	43	60	63	58	66	71	61	54	58	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	8	6	9	6	7	9	8
A6NI79	CCDC69	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIH7	UNC119B	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIJ9	OR6C70	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	1	3	2	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1
A6NK58	LIPT2	231	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	2	2	0	1	1	1	1	1	1	1	1	1	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	2	1
A6NKD9	CCDC85C	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	4	0	0	0	0	1	1	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
A6NKF1	SAC3D1	404	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	2	2	2	2	0	0	1	0	0	1	1	0	2	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	1	1
A6NNL5	C15orf61	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NP11	ZNF716	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7KAX9	ARHGAP32	2087	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7MCY6	TBKBP1	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	5	2	2	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	1
A8CG34	POM121C	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	2	0	1	1	1	0	0	1	0	1	0	0	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
A8K0Z3	WASHC1	465	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	5	4	5	4	3	2	4	5	5	5	6	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	0	2	0
A8K2U0	A2ML1	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MTT3	CEBPZOS	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MVW0	FAM171A2	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MWD9	SNRPGP15	76	2	3	4	3	3	4	4	1	2	4	2	1	2	2	3	2	0	3	0	3	3	2	0	0	0	0	1	0	0	0	0	4	1	2	1	2	1	2	2	2	4	3	2	2	4	3	3	0	1	1	1	0	0	0	1	1	3	2	3	2	1	2	2	0	0	0	0	2	1	1	2	2	2	2	7	2	2
A8MXV4	NUDT19	375	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B0I1T2	MYO1G	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RBV5		119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RTY4	MYO9A	2548	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1
B7ZAQ6	GPR89A	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3	1	0	1	1	1	0	1
C9JLW8	MCRIP1	97	2	3	5	5	5	4	14	4	5	15	11	11	7	5	4	6	5	8	2	19	16	20	3	3	6	6	10	5	3	3	4	14	13	15	12	11	12	15	14	9	14	12	16	12	13	16	13	4	5	6	6	5	10	10	6	5	6	5	6	6	8	8	8	9	8	5	3	5	2	15	16	14	13	16	14	12	19
E9PAV3	NACA	2078	2	3	3	5	4	3	3	3	3	3	2	3	4	3	4	3	2	5	4	4	5	5	5	5	3	3	0	0	0	0	0	16	22	16	17	21	21	16	19	16	16	14	15	16	14	18	17	4	6	3	4	3	5	3	3	9	11	9	10	9	6	7	6	0	3	1	0	3	4	4	3	5	6	5	6	6	6
E9PRG8	C11orf98	123	1	0	2	1	1	1	1	4	1	2	2	1	2	3	2	2	0	0	0	1	1	2	0	0	2	1	2	3	0	3	1	4	2	2	2	3	3	2	4	2	4	2	3	3	2	3	2	3	2	3	2	3	3	1	3	1	2	2	1	3	2	1	1	1	2	1	2	2	1	2	3	3	2	3	2	2	1
G2XKQ0	SUMO1P1	101	1	2	2	0	2	1	1	2	2	1	3	2	3	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
L0R819	ASDURF	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	3	1	3	2	4	1	1	2	3	1	1	1	1	3	4	1	1	1	2	1	0	1	1	0	1	0	1	1	2	1	1	0	0	0	0	0	0	3	3	1	1	3	2	2	3
O00115	DNASE2	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00116	AGPS	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	18	0	0	31	29	27	0	0	0	0	0	0	0	0	0	22	18	24	17	22	20	20	18	14	11	11	11	13	13	13	12	35	30	28	36	35	38	31	37	20	17	16	18	18	19	18	19	0	0	0	0	0	0	25	20	23	22	26	23	27	25
O00124	UBXN8	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O00139	KIF2A	706	1	1	2	1	1	2	2	1	0	0	0	0	4	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	3	3	2	2	2	2	3	3	3	1	3	4	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	2	2	2	2
O00142	TK2	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0
O00148	DDX39A	427	6	6	3	3	3	6	5	5	4	2	3	4	7	3	5	0	0	0	0	5	5	8	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	3	3	2	1	2	3	3	1	3	1	0	0	1	2	2	0	0	0	0	0	0	1	0	2	1	1	1	2	1
O00151	PDLIM1	329	4	3	5	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	0	0	0	0	0	6	7	7	2	6	8	8	5	7	6	10	9	6	4	5	7	1	0	1	2	1	0	5	2	0	1	1	0	1	0	0	0	0	1	0	0	0	1	2	0	2	1	1	2	4	2
O00154	ACOT7	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	3	3	2	2	5
O00159	MYO1C	1063	0	0	1	0	0	0	2	2	2	1	1	0	0	0	1	13	11	14	20	89	95	93	18	17	21	27	0	0	0	14	21	7	11	9	8	11	9	9	8	1	3	6	5	5	5	2	4	7	10	8	7	7	10	6	5	5	6	3	1	5	3	2	4	22	32	21	37	28	32	8	6	11	10	9	13	12	12
O00161	SNAP23	211	32	33	32	32	25	35	35	31	28	40	40	38	39	35	16	10	6	2	2	75	64	72	2	4	8	7	25	7	3	3	5	35	33	33	38	39	29	30	42	27	28	30	28	26	27	36	29	38	47	36	50	44	54	56	43	34	20	26	30	36	39	38	39	3	6	6	9	10	3	44	29	47	46	42	53	44	38
O00165	HAX1	279	14	13	19	25	10	15	10	14	12	12	15	16	18	7	12	2	5	0	0	4	2	3	1	2	4	1	3	1	1	0	0	2	2	1	1	2	1	1	1	0	0	0	0	0	0	0	0	4	2	4	2	2	3	3	4	0	0	1	2	3	2	1	2	0	2	2	1	2	3	2	0	3	2	1	1	1	1
O00170	AIP	330	3	3	3	4	2	3	2	2	1	1	3	1	2	1	0	0	0	0	0	3	2	3	0	2	0	5	0	0	0	3	1	8	6	8	10	4	6	8	5	1	1	1	2	2	1	2	3	2	2	1	4	3	2	1	3	2	2	1	2	2	1	1	2	0	3	1	0	1	2	4	5	6	3	5	6	5	3
O00178	GTPBP1	669	2	1	2	1	0	0	2	5	1	3	2	1	3	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	4	5	4	2	3	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	2	4	2
O00182	LGALS9	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00186	STXBP3	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	4	2	2	0	0	0	0	0	0	0	0	0	4	5	5	3	3	2	3	4	0	0	0	0	0	0	0	0	15	11	15	18	13	14	18	17	6	4	4	7	8	8	2	3	0	0	0	0	0	0	6	8	6	7	6	7	8	8
O00193	SMAP	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	4	5	2	3	3	2	4	5	6	11	5	3	8	8	4	8	2	3	0	3	4	3	3	0	2	2	5	2	3	1	0	1	0	0	0	0	0	0	6	7	6	5	10	7	6	6
O00203	AP3B1	1094	2	2	3	1	0	1	2	2	2	4	2	1	3	3	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	10	8	7	6	6	6	8	2	2	5	2	2	2	2	1	5	2	2	3	4	3	5	8	6	5	7	7	6	7	7	3	0	0	0	0	0	1	6	8	2	4	1	7	3	5
O00213	APBB1	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	0	1	1	1	21	9	12	15	11	12	15	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	7	8	9	6	7	6
O00214	LGALS8	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0
O00217	NDUFS8	210	2	2	3	3	0	3	4	4	2	5	5	3	3	4	2	1	1	0	0	8	9	6	0	2	0	0	0	0	0	0	0	5	4	5	5	5	6	7	3	1	2	2	1	2	2	2	2	7	8	5	7	7	7	6	7	5	4	6	5	3	5	4	6	0	0	2	0	0	1	9	8	5	5	6	5	8	6
O00221	NFKBIE	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00230	CORT	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00231	PSMD11	422	19	15	14	10	10	12	11	14	19	13	14	16	21	14	18	20	13	2	1	34	30	27	5	4	16	7	0	0	0	6	5	28	35	27	29	27	31	27	33	18	21	24	20	21	20	17	16	33	27	29	32	30	33	31	22	29	21	27	23	28	25	21	18	4	9	5	2	8	7	38	40	44	33	42	37	41	37
O00232	PSMD12	456	7	11	15	7	3	6	11	9	5	7	9	6	17	19	9	2	1	2	0	29	25	26	2	1	6	7	0	0	0	7	7	27	27	29	24	26	25	28	31	19	20	17	19	21	16	20	27	19	26	19	17	21	20	21	20	22	21	20	22	19	23	21	23	2	7	5	4	6	6	36	36	33	37	32	34	35	45
O00233	PSMD9	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00244	ATOX1	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00255	MEN1	615	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	0	2	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
O00257	CBX4	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
O00258	GET1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00264	PGRMC1	195	9	4	2	1	3	1	3	2	1	3	5	2	2	2	2	12	6	5	4	24	24	27	2	3	1	1	3	3	2	1	0	5	3	5	3	2	3	3	2	1	2	2	1	1	3	1	2	17	14	20	16	12	12	13	17	7	6	5	6	7	14	12	8	1	3	1	2	3	1	4	4	5	2	3	6	6	4
O00267	SUPT5H	1087	6	5	3	2	3	6	1	2	1	2	2	0	14	18	8	0	0	0	0	2	1	1	1	0	0	0	3	1	0	0	0	4	6	3	4	4	5	5	3	5	4	5	4	3	3	3	6	1	4	3	3	3	4	2	3	0	1	0	1	0	0	1	0	1	0	0	0	0	0	10	7	11	7	7	7	12	6
O00268	TAF4	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	19	18	18	19	16	18	14	14	27	17	22	21	20	19	18	4	5	3	7	3	4	4	4	1	2	2	1	0	0	1	0	0	0	0	0	0	0	8	5	5	5	4	6	7	7
O00273	DFFA	331	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	0	1	0	0	3	0	1	2	1	1	0	2	1	2	1	0	0	5	1	5	3	2	1	3	4	0	0	0	0	0	0	0	3	3	6	3	6	7	4
O00287	RFXAP	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00291	HIP1	1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00299	CLIC1	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	2	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	2	2	1	2	0	1	2	1	1	2	3	1	2	2	2	2	0	1	0	0	0	3	3	1	1	1	1	1	2	1
