PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
A5A3E0	POTEF	1075	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	2	1	1	2	2	1	0	2	1	0	0	0	0	0	0	0	4	5	3	5	4	4	1	5	0
A5D8V6	VPS37C	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PL33	KRBA1	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
A5PLN9	TRAPPC13	417	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	0	0	4	2	4	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
A5YKK6	CNOT1	2376	24	24	29	44	44	33	46	31	34	38	33	6	7	5	9	10	13	2	32	3	28	1	33	32	31	29	0	1	0	32	37	60	66	45	47	46	45	19	16	39	47	15	45	46	13	17	15	44	45	29	29	54	58	58	55	45	49	47	42	53	46	52	76	87	85	81	80	72	80	88	38	14	14	4	6	8	12	44	52	0	26	26	28	30	24	24	26	23	2
A6H8Y1	BDP1	2624	0	0	0	1	0	0	2	0	0	0	2	1	4	1	3	6	3	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	3	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	3	3	5	1	1	0	0	0	0	0	0	0	0	0	0
A6NCE7	MAP1LC3B2	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NCF6	MAGEA13P	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0
A6NCW0	USP17L3	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6ND36	FAM83G	823	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A6NDG6	PGP	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NDU8	RIMOC1	294	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A6NE01	FAM186A	2351	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A6NED2	RCCD1	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NFI3	ZNF316	1004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A6NGB9	WIPF3	483	0	0	0	1	0	1	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	2	3	3	2	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
A6NGQ2	OOEP	149	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	1	2	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0
A6NHG4	DDTL	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NHR9	SMCHD1	2005	23	23	22	14	4	13	9	4	7	4	6	20	16	13	23	32	14	3	8	4	19	1	10	31	37	34	1	1	2	3	1	7	3	6	3	4	4	19	26	94	91	0	14	16	0	1	0	26	19	6	4	154	118	137	137	127	133	129	129	121	159	167	205	189	208	192	185	199	204	202	140	22	24	36	39	49	51	14	16	0	21	22	31	24	27	22	30	27	1
A6NIH7	UNC119B	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0
A6NJ78	METTL15	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NJZ7	RIMBP3C	1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A6NK58	LIPT2	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	1	1	1	0
A6NKD9	CCDC85C	419	3	3	0	15	6	17	15	9	11	7	13	0	0	0	1	1	1	0	10	0	16	0	11	5	9	7	0	0	0	5	2	4	9	6	4	5	3	9	8	2	3	0	9	10	6	5	1	5	9	6	3	0	0	0	1	1	1	1	2	2	0	0	3	3	2	1	2	2	1	1	0	0	1	0	0	0	1	14	9	0	3	3	1	0	3	3	0	4	0
A6NKF1	SAC3D1	404	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
A6QL63	ABTB3	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7E2V4	ZSWIM8	1837	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
A7KAX9	ARHGAP32	2087	0	0	0	1	4	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	2	0	2	2	3	2	0	0	0	0	0	0	1	2	4	0	2	5	6	4	2	0	7	7	0	0	0	3	5	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	4	4	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0
A7MCY6	TBKBP1	615	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	3	2	1	1	2	1	1	0	1	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	2	4	0	0
A8CG34	POM121C	1229	1	2	1	1	7	0	1	7	0	6	0	10	12	15	8	12	13	10	1	16	0	6	0	4	5	6	4	2	3	2	3	10	8	4	3	2	7	0	1	21	20	1	2	3	9	13	7	10	6	1	1	3	2	1	2	2	1	1	1	1	5	1	3	2	4	4	5	6	5	4	2	1	0	15	20	15	15	3	5	0	3	1	1	1	1	1	1	2	0
A8K855	EFCAB7	629	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
A8MPP1	DDX11L8	907	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A8MQ14	ZNF850	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MT69	CENPX	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MTY0	ZNF724	619	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MVW0	FAM171A2	826	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
A8MW92	PHF20L1	1017	0	0	0	0	1	0	0	0	0	0	0	2	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	2	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	2	1	0	0	0	0	1	0	0	1	0	0
A8MWD9	SNRPGP15	76	4	3	4	1	3	3	1	2	3	2	3	7	5	7	6	3	6	3	4	3	4	3	2	5	5	10	0	2	2	4	3	4	3	2	3	1	2	2	5	7	2	6	1	1	1	2	1	3	2	2	2	3	1	1	1	1	1	1	1	0	2	2	2	3	2	2	3	2	2	1	8	3	2	2	1	3	2	1	2	0	1	1	1	1	1	1	3	1	0
A8MXV4	NUDT19	375	0	0	0	19	6	10	14	3	12	6	14	4	4	5	9	8	7	0	14	0	16	0	12	1	1	1	0	0	0	21	15	14	16	10	17	17	15	7	7	11	15	10	28	26	2	7	3	5	2	6	5	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	3	12	12	15	12	23	24	0	0	0	0	0	0	0	0	0	0
A9UHW6	MIF4GD	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B2RTY4	MYO9A	2548	0	1	0	0	1	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	2	2	0	0	0	2	2	2	1	1	2	3	3	1	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
B3KU38	IQCJ-SCHIP1	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	2	2	0
B7ZAP0	RABGAP1L	253	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B7ZAQ6	GPR89A	455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
C4AMC7	WASH3P	463	1	1	4	1	7	5	3	3	2	4	3	1	3	1	3	0	0	1	1	4	6	0	1	3	4	4	0	1	0	1	1	4	8	4	5	5	2	4	4	5	2	2	4	3	6	1	0	3	4	0	0	9	7	4	5	7	7	6	13	4	13	5	11	10	10	10	10	11	10	16	3	3	2	1	0	3	1	3	5	0	3	1	2	4	2	2	2	1	0
C9JLW8	MCRIP1	97	7	11	9	4	7	7	6	11	4	8	3	3	4	6	4	4	5	5	3	4	8	5	6	4	7	6	3	4	3	3	2	5	2	5	7	6	4	10	8	2	6	1	5	5	6	7	7	6	7	3	7	3	11	3	6	3	9	8	5	8	3	4	5	6	2	2	4	10	3	2	0	11	12	2	4	3	3	6	5	5	5	5	5	6	4	6	8	6	4
D6REC4	CFAP99	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0
E9PAV3	NACA	2078	11	11	12	7	4	8	5	5	7	5	6	5	5	8	9	7	5	3	8	4	5	5	7	10	9	8	1	0	2	10	10	15	11	12	12	12	13	5	7	14	12	7	13	10	8	6	6	10	14	5	6	22	16	16	14	17	17	20	21	16	30	43	40	33	39	45	38	39	37	43	32	9	7	4	3	3	4	8	10	11	14	10	11	10	16	13	11	9	13
E9PRG8	C11orf98	123	0	1	2	3	1	2	1	1	1	1	4	2	2	2	2	3	3	1	2	1	3	2	1	3	3	2	1	1	1	0	0	5	4	1	1	1	1	0	0	3	2	0	1	1	1	2	1	1	1	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	1	1	1	4	1	1	0	1	0	2	1	2	3	2	3	1
L0R819	ASDURF	96	3	3	2	3	3	4	5	3	4	4	2	0	1	2	2	4	3	0	3	0	3	0	4	3	2	3	0	0	0	1	1	5	5	5	6	7	4	6	6	3	4	2	3	4	3	5	4	3	3	2	2	2	3	3	2	4	5	4	7	3	2	2	4	5	3	4	6	4	4	2	0	3	2	3	3	4	2	6	5	0	2	2	2	2	2	2	4	3	0
O00116	AGPS	658	18	15	14	1	0	2	1	0	1	0	1	0	0	0	0	0	1	0	3	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	8	0	0	0	0	0	0	0	0	0	0	2	1	8	8	6	9	11	7	7	10	8	10	1	7	9	8	7	8	8	10	8	3	16	21	0	0	0	0	0	0	0	11	9	7	8	8	10	10	13	2
O00139	KIF2A	706	4	2	2	3	6	8	4	5	9	8	6	9	9	8	7	5	6	3	7	8	12	3	9	19	19	18	2	3	6	4	3	8	5	9	5	6	8	4	2	14	15	3	4	4	0	1	0	6	5	2	1	3	2	2	4	3	4	5	6	4	2	2	4	2	3	3	4	3	4	2	0	2	1	5	6	3	4	4	6	0	5	2	2	4	3	5	5	3	0
O00148	DDX39A	427	12	8	8	5	6	10	3	4	8	6	11	12	11	12	10	12	12	7	10	7	11	3	8	10	12	17	2	5	2	4	6	5	5	3	3	3	5	4	2	15	14	1	3	4	0	1	0	3	3	0	1	7	6	7	5	4	5	4	6	5	9	1	5	3	5	3	5	5	5	6	1	5	6	7	5	4	5	3	5	1	5	6	7	9	6	6	8	6	1
O00151	PDLIM1	329	21	24	24	31	23	24	31	21	30	27	32	18	16	17	22	16	20	3	28	6	33	4	27	26	16	26	4	3	4	22	21	41	39	36	32	29	33	29	33	24	21	12	34	41	19	25	20	25	26	14	16	72	50	47	50	44	45	42	48	47	72	41	47	45	47	42	48	55	47	59	32	70	76	19	17	22	20	32	37	50	68	81	85	78	82	74	85	87	51
O00154	ACOT7	380	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	1	0	0	0	0	0	0	3	4	2	2	2	1	0	0	2	2	3	0	0	2	0	1	1	1	1	1	1	1	0	5	4	6	5	5	4	5	6	0	1	4	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0
O00159	MYO1C	1063	65	64	61	0	14	3	1	19	3	35	2	4	2	4	3	4	4	5	1	0	1	0	1	7	11	14	8	12	13	2	0	17	12	13	9	12	11	13	17	27	31	0	0	0	0	0	1	0	0	12	10	28	11	12	10	9	8	9	11	9	18	3	7	12	6	9	11	10	9	9	6	15	13	1	0	0	0	1	1	3	26	26	26	21	19	22	22	21	5
O00161	SNAP23	211	15	14	13	3	3	3	3	8	7	6	7	9	7	9	9	7	10	9	3	6	5	10	5	11	10	7	1	3	1	1	3	12	7	8	6	4	5	4	4	1	1	5	3	2	12	20	15	7	4	0	0	13	7	8	6	10	11	11	9	10	17	5	13	10	15	14	11	14	14	14	1	9	14	1	2	2	1	3	4	3	14	16	19	15	16	13	19	17	4
O00165	HAX1	279	1	5	1	0	3	0	0	2	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	1	1	2	0	0	0	0	0	0	1	1	0	0	5	5	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2
O00170	AIP	330	5	6	7	1	3	2	0	2	2	2	2	0	0	0	1	0	1	0	1	0	2	0	1	2	2	4	0	0	0	4	2	2	2	2	3	4	6	0	0	5	2	0	4	5	1	3	2	4	3	0	1	5	2	2	3	1	3	3	3	4	3	1	4	3	2	3	5	3	3	5	2	3	4	1	2	1	2	3	5	1	7	6	7	9	7	4	7	6	1
